ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	[Q01]Value	[Q02]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	AOI[Screentitle 2]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	Unnamed: 487	screen	idea	attribute	Label	MissingValue
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														39	10:38:48.858	1511862040825237															0	1		Fixation	283							11	14	473	62	426	38	449			3,76	163,07	16,63	175,47	10,19	169,27	212,84	203,69	621,28	279,91	205,43	620,14					654,96	654,96	3.58	3.51	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														42	10:38:48.861	1511862040828452															0	1		Fixation	283							12	16	467	65	432	40	449			4,29	164,59	17,37	173,99	10,83	169,29	212,81	203,69	621,28	279,89	205,40	620,07					654,96	654,96	3.58	3.56	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														45	10:38:48.865	1511862040831899															0	1		Fixation	283							13	11	468	67	417	39	442			2,88	164,24	18,05	178,12	10,46	171,18	212,79	203,70	621,31	279,87	205,38	620,03					654,99	654,99	3.58	3.49	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														49	10:38:48.868	1511862040835126															0	1		Fixation	283							14	9	465	70	427	39	446			2,33	165,09	18,85	175,29	10,59	170,19	212,77	203,68	621,29	279,86	205,37	620,00					654,97	654,97	3.59	3.52	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														52	10:38:48.871	1511862040838561															0	1		Fixation	283							15	13	465	78	426	45	445			3,35	165,01	20,79	175,59	12,07	170,30	212,74	203,68	621,32	279,84	205,36	619,98					655,00	655,00	3.58	3.5	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														55	10:38:48.875	1511862040841785															0	1		Fixation	283							16	17	467	68	423	42	445			4,53	164,49	18,14	176,34	11,33	170,42	212,72	203,68	621,33	279,82	205,35	619,96					655,01	655,01	3.59	3.5	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														59	10:38:48.878	1511862040845225															0	1		Fixation	283							17	17	474	74	411	45	442			4,65	162,81	19,76	179,56	12,20	171,18	212,69	203,67	621,32	279,80	205,36	619,97					655,00	655,00	3.57	3.47	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														62	10:38:48.881	1511862040848450															0	1		Fixation	283							18	17	470	64	451	40	460			4,47	163,82	17,12	168,87	10,80	166,35	212,66	203,68	621,35	279,77	205,36	619,99					655,03	655,03	3.58	3.52	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														65	10:38:48.885	1511862040851888															0	1		Fixation	283							19	16	476	67	418	41	447			4,24	162,05	17,91	177,67	11,08	169,86	212,63	203,66	621,32	279,75	205,36	619,97					655,00	655,00	3.59	3.46	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														69	10:38:48.888	1511862040855118															0	1		Fixation	283							20	8	465	64	418	36	441			2,06	165,08	17,07	177,72	9,57	171,40	212,60	203,65	621,33	279,72	205,35	619,97					655,01	655,01	3.6	3.48	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														72	10:38:48.891	1511862040858557															0	1		Fixation	283							21	14	483	71	403	42	443			3,61	160,34	19,04	181,71	11,33	171,03	212,57	203,66	621,37	279,69	205,32	619,88					655,05	655,05	3.6	3.44	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														75	10:38:48.895	1511862040861783															0	1		Fixation	283							22	6	472	68	409	37	440			1,58	163,24	18,15	180,08	9,87	171,66	212,54	203,67	621,40	279,66	205,30	619,83					655,08	655,08	3.6	3.46	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														79	10:38:48.898	1511862040865223															0	1		Fixation	283							23		461	72	418	35	439			-0,17	166,31	19,35	177,84	9,59	172,07	212,50	203,65	621,39	279,63	205,31	619,85					655,07	655,07	3.57	3.5	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														82	10:38:48.901	1511862040868449															0	1		Fixation	283							24	12	475	67	443	39	459			3,14	162,30	17,86	170,96	10,50	166,63	212,46	203,65	621,41	279,60	205,32	619,88					655,09	655,09	3.6	3.53	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														85	10:38:48.905	1511862040871888															0	1		Fixation	283							25	12	479	68	410	40	444			3,19	161,45	18,23	179,82	10,71	170,63	212,43	203,64	621,39	279,56	205,32	619,87					655,07	655,07	3.59	3.48	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														89	10:38:48.908	1511862040875113															0	1		Fixation	283							26	11	483	70	425	40	454			2,97	160,36	18,73	175,72	10,85	168,04	212,40	203,64	621,41	279,53	205,30	619,83					655,09	655,09	3.61	3.5	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														92	10:38:48.911	1511862040878552															0	1		Fixation	283							27	4	472	70	421	37	446			1,05	163,36	18,82	176,94	9,94	170,15	212,36	203,62	621,39	279,49	205,28	619,76					655,07	655,07	3.59	3.48	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														95	10:38:48.915	1511862040881780															0	1		Fixation	283							28	13	485	67	433	40	459			3,45	159,81	17,97	173,65	10,71	166,73	212,31	203,65	621,49	279,45	205,29	619,77					655,18	655,18	3.58	3.49	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														99	10:38:48.918	1511862040885219															0	1		Fixation	283							29	1	467	72	436	36	451			0,26	164,49	19,19	172,80	9,73	168,65	212,27	203,64	621,49	279,42	205,29	619,77					655,18	655,18	3.58	3.5	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														102	10:38:48.921	1511862040888446															0	1		Fixation	283							30	9	476	56	425	32	450			2,40	162,16	15,07	175,92	8,74	169,04	212,24	203,62	621,46	279,38	205,29	619,75					655,14	655,14	3.56	3.48	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														105	10:38:48.925	1511862040891884															0	1		Fixation	283							31	17	484	56	438	36	461			4,51	159,89	14,94	172,38	9,73	166,13	212,19	203,62	621,46	279,34	205,29	619,74					655,15	655,15	3.6	3.51	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														109	10:38:48.928	1511862040895113															0	1		Fixation	283							32	12	489	61	437	36	463			3,08	158,75	16,30	172,53	9,69	165,64	212,14	203,65	621,55	279,30	205,29	619,71					655,24	655,24	3.57	3.52	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														112	10:38:48.931	1511862040898548															0	1		Fixation	283							33	13	477	60	446	36	461			3,43	161,80	16,12	170,18	9,77	165,99	212,10	203,62	621,52	279,25	205,29	619,70					655,20	655,20	3.57	3.5	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														115	10:38:48.935	1511862040901780															0	1		Fixation	283							34	15	470	66	432	40	451			4,09	163,67	17,71	174,02	10,90	168,85	212,06	203,61	621,51	279,21	205,29	619,69					655,19	655,19	3.58	3.48	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														119	10:38:48.938	1511862040905220															0	1		Fixation	283							35	13	477	61	417	37	447			3,56	161,86	16,40	177,86	9,98	169,86	212,01	203,62	621,56	279,16	205,28	619,64					655,25	655,25	3.57	3.48	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														122	10:38:48.941	1511862040908447															0	1		Fixation	283							36	17	479	64	420	40	449			4,67	161,48	17,07	177,15	10,87	169,31	211,95	203,64	621,62	279,11	205,27	619,61					655,32	655,32	3.57	3.47	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														125	10:38:48.945	1511862040911881															0	1		Fixation	283							37	11	480	66	421	38	450			2,99	161,11	17,56	176,90	10,27	169,00	211,91	203,63	621,61	279,06	205,27	619,58					655,30	655,30	3.58	3.45	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														129	10:38:48.948	1511862040915116															0	1		Fixation	283							38	14	489	69	429	41	459			3,85	158,56	18,51	174,65	11,18	166,60	211,85	203,63	621,66	279,01	205,28	619,56					655,36	655,36	3.56	3.48	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														132	10:38:48.951	1511862040918546															0	1		Fixation	283							39	9	477	57	436	33	456			2,38	161,76	15,32	172,91	8,85	167,33	211,79	203,65	621,71	278,96	205,28	619,55					655,41	655,41	3.56	3.49	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														135	10:38:48.955	1511862040921781															0	1		Fixation	283							40	9	479	60	418	34	448			2,42	161,40	16,18	177,71	9,30	169,55	211,74	203,63	621,69	278,90	205,28	619,52					655,39	655,39	3.55	3.46	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														139	10:38:48.958	1511862040925220															0	1		Fixation	283							41	12	484	67	426	39	455			3,19	160,06	17,96	175,59	10,58	167,83	211,68	203,64	621,75	278,84	205,29	619,51					655,45	655,45	3.57	3.47	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														142	10:38:48.961	1511862040928438															0	1		Fixation	283							42	2	476	66	422	34	449			0,66	162,23	17,75	176,64	9,20	169,44	211,62	203,66	621,84	278,79	205,29	619,51					655,55	655,55	3.54	3.48	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														145	10:38:48.965	1511862040931871															0	1		Fixation	283							43	13	471	51	420	32	445			3,35	163,62	13,59	177,25	8,47	170,44	211,57	203,64	621,81	278,73	205,27	619,43					655,52	655,52	3.55	3.46	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														149	10:38:48.968	1511862040935111															0	1		Fixation	283							44	4	470	61	430	32	450			0,96	163,70	16,42	174,54	8,69	169,12	211,50	203,65	621,87	278,66	205,28	619,42					655,59	655,59	3.56	3.47	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														152	10:38:48.971	1511862040938553															0	1		Fixation	283							45	2	475	62	417	32	446			0,63	162,53	16,54	177,97	8,58	170,25	211,43	203,67	621,97	278,60	205,29	619,42					655,69	655,69	3.56	3.46	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														155	10:38:48.975	1511862040941770															0	1		Fixation	283							46	9	478	62	435	35	456			2,34	161,65	16,69	173,22	9,52	167,44	211,37	203,64	621,91	278,53	205,28	619,37					655,62	655,62	3.56	3.48	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														159	10:38:48.978	1511862040945214															0	1		Fixation	283							47	12	476	67	417	39	446			3,25	162,21	17,88	177,95	10,56	170,08	211,30	203,67	622,02	278,46	205,29	619,38					655,74	655,74	3.57	3.46	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														162	10:38:48.981	1511862040948432															0	1		Fixation	283							48	20	478	60	446	40	462			5,47	161,62	16,01	170,18	10,74	165,90	211,23	203,65	622,00	278,39	205,29	619,35					655,72	655,72	3.57	3.49	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														165	10:38:48.985	1511862040951877															0	1		Fixation	283							49	6	479	62	423	34	451			1,57	161,35	16,65	176,31	9,11	168,83	211,16	203,64	622,04	278,31	205,29	619,33					655,76	655,76	3.56	3.45	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														169	10:38:48.988	1511862040955096															0	1		Fixation	283							50	15	478	57	427	36	452			4,13	161,56	15,27	175,34	9,70	168,45	211,07	203,67	622,12	278,24	205,29	619,31					655,85	655,85	3.57	3.49	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														172	10:38:48.991	1511862040958535															0	1		Fixation	283							51	9	477	67	442	38	459			2,33	161,81	17,90	171,34	10,11	166,58	211,00	203,65	622,13	278,15	205,29	619,26					655,86	655,86	3.57	3.51	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														175	10:38:48.995	1511862040961776															0	1		Fixation	283							52	13	473	73	432	43	452			3,39	162,87	19,56	173,88	11,47	168,38	210,91	203,69	622,25	278,07	205,29	619,25					655,99	655,99	3.59	3.48	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														179	10:38:48.998	1511862040965210															0	1		Fixation	283							53	4	473	59	433	31	453			1,04	163,09	15,91	173,67	8,47	168,38	210,83	203,66	622,23	277,98	205,30	619,23					655,97	655,97	3.53	3.51	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														182	10:38:49.001	1511862040968428															0	1		Fixation	283							54	12	487	63	420	37	453			3,19	159,21	16,91	177,19	10,05	168,20	210,73	203,71	622,38	277,89	205,29	619,18					656,13	656,13	3.56	3.45	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														185	10:38:49.005	1511862040971867															0	1		Fixation	283							55	16	479	56	404	36	441			4,36	161,36	14,99	181,43	9,67	171,40	210,65	203,68	622,36	277,80	205,29	619,14					656,11	656,11	3.58	3.43	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														189	10:38:49.008	1511862040975094															0	1		Fixation	283							56	15	473	64	415	39	444			3,99	162,84	17,00	178,49	10,50	170,66	210,55	203,72	622,51	277,70	205,28	619,07					656,27	656,27	3.58	3.46	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														192	10:38:49.011	1511862040978540															0	1		Fixation	283							57	11	477	63	415	37	446			3,00	161,80	16,79	178,44	9,90	170,12	210,45	203,70	622,49	277,60	205,31	619,11					656,25	656,25	3.57	3.45	0	0					nothing	nothing	nothing	grey	
